不思議	ふしぎ	mystery, wonder
列	れつ	row, line
取り出す	とりだす	take out, pull out
場所	ばしょ	place, space
夢中	むちゅう	be absorbed
大声	おおごえ	loud voice
信じる	しんじる	believe, trust, have faith in
我慢	がまん	patience, self-restraint
様子	ようす	appearance, aspect
眠る	ねむる	sleep
社会	しゃかい	society
途中	とちゅう	on the way, half way
あきれる	あきれる	be stunned in disappointment or disbelief
じっと	じっと	without moving, still
（〜て）たまらない	（〜て）たまらない	st is intolerable
お年寄り	おとしより	senior citizen
席を取る	せきをとる	take a seat
ころ	ころ	approx. time
この前	このまえ	some time ago
中でも	なかでも	among (other things)
会社員	かいしゃいん	company employee
手を貸す	てをかす	to lend a hand
礼儀正しい	れいぎただしい	courteous
難しさ	むずかしさ	(degree of) difficulty
なんて		things like
